season,overall_episode,season_episode,title,director,writer,air_date,viewers_million
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,17-04-2011,2.22
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,24-04-2011,2.2
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,01-05-2011,2.44
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,08-05-2011,2.45
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,15-05-2011,2.58
1,6,6,A Golden Crown,Daniel Minahan,Various,22-05-2011,2.44
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,29-05-2011,2.4
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,05-06-2011,2.72
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,12-06-2011,2.66
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,19-06-2011,3.04
2,11,1,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,01-04-2012,3.86
2,12,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,08-04-2012,3.76
2,13,3,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,15-04-2012,3.77
2,14,4,Garden of Bones,David Petrarca,Vanessa Taylor,22-04-2012,3.65
2,15,5,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,29-04-2012,3.9
2,16,6,The Old Gods and the New,David Nutter,Vanessa Taylor,06-05-2012,3.88
2,17,7,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,13-05-2012,3.69
2,18,8,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,20-05-2012,3.86
2,19,9,Blackwater,Neil Marshall,George R. R. Martin,27-05-2012,3.38
2,20,10,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,03-06-2012,4.2
3,21,1,Valar Dohaeris,Daniel Minahan,David Benioff & D. B. Weiss,31-03-2013,4.37
3,22,2,"Dark Wings, Dark Words",Daniel Minahan,Vanessa Taylor,07-04-2013,4.27
3,23,3,Walk of Punishment,David Benioff,David Benioff & D. B. Weiss,14-04-2013,4.72
3,24,4,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,21-04-2013,4.87
3,25,5,Kissed by Fire,Alex Graves,Bryan Cogman,28-04-2013,5.35
3,26,6,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,05-05-2013,5.5
3,27,7,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,12-05-2013,4.84
3,28,8,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,19-05-2013,5.13
3,29,9,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,02-06-2013,5.22
3,30,10,Mhysa,David Nutter,David Benioff & D. B. Weiss,09-06-2013,5.39
4,31,1,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,06-04-2014,6.64
4,32,2,The Lion and the Rose,Alex Graves,George R. R. Martin,13-04-2014,6.31
4,33,3,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,20-04-2014,6.59
4,34,4,Oathkeeper,Michelle MacLaren,Bryan Cogman,27-04-2014,6.95
4,35,5,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,04-05-2014,7.16
4,36,6,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,11-05-2014,6.4
4,37,7,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,18-05-2014,7.2
4,38,8,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,01-06-2014,7.17
4,39,9,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,08-06-2014,6.95
4,40,10,The Children,Alex Graves,David Benioff & D. B. Weiss,15-06-2014,7.09
5,41,1,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,12-04-2015,8
5,42,2,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,19-04-2015,6.81
5,43,3,High Sparrow,Mark Mylod,David Benioff & D. B. Weiss,26-04-2015,6.71
5,44,4,Sons of the Harpy,Mark Mylod,Dave Hill,03-05-2015,6.82
5,45,5,Kill the Boy,Jeremy Podeswa,Bryan Cogman,10-05-2015,6.56
5,46,6,"Unbowed, Unbent, Unbroken",Jeremy Podeswa,Bryan Cogman,17-05-2015,6.24
5,47,7,The Gift,Miguel Sapochnik,David Benioff & D. B. Weiss,24-05-2015,5.4
5,48,8,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,31-05-2015,7.01
5,49,9,The Dance of Dragons,David Nutter,David Benioff & D. B. Weiss,07-06-2015,7.14
5,50,10,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,14-06-2015,8.11
6,51,1,The Red Woman,Jeremy Podeswa,David Benioff & D. B. Weiss,24-04-2016,7.94
6,52,2,Home,Jeremy Podeswa,Dave Hill,01-05-2016,7.29
6,53,3,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,08-05-2016,7.28
6,54,4,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,15-05-2016,7.82
6,55,5,The Door,Jack Bender,David Benioff & D. B. Weiss,22-05-2016,7.89
6,56,6,Blood of My Blood,Jack Bender,Bryan Cogman,29-05-2016,6.71
6,57,7,The Broken Man,Mark Mylod,Bryan Cogman,05-06-2016,7.8
6,58,8,No One,Mark Mylod,David Benioff & D. B. Weiss,12-06-2016,7.6
6,59,9,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,19-06-2016,7.66
6,60,10,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,26-06-2016,8.89
7,61,1,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,16-07-2017,10.11
7,62,2,Stormborn,Mark Mylod,Bryan Cogman,23-07-2017,9.27
7,63,3,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,30-07-2017,9.25
7,64,4,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,06-08-2017,10.17
7,65,5,Eastwatch,Matt Shakman,Dave Hill,13-08-2017,10.72
7,66,6,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,20-08-2017,10.24
7,67,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,27-08-2017,12.07
